Schema,Procedure
dbo,create_urutan_tanggal
dbo,delete_t_surat_berharga_1
dbo,dt_addtosourcecontrol
dbo,dt_addtosourcecontrol_u
dbo,dt_adduserobject
dbo,dt_adduserobject_vcs
dbo,dt_checkinobject
dbo,dt_checkinobject_u
dbo,dt_checkoutobject
dbo,dt_checkoutobject_u
dbo,dt_displayoaerror
dbo,dt_displayoaerror_u
dbo,dt_droppropertiesbyid
dbo,dt_dropuserobjectbyid
dbo,dt_generateansiname
dbo,dt_getobjwithprop
dbo,dt_getobjwithprop_u
dbo,dt_getpropertiesbyid
dbo,dt_getpropertiesbyid_u
dbo,dt_getpropertiesbyid_vcs
dbo,dt_getpropertiesbyid_vcs_u
dbo,dt_isundersourcecontrol
dbo,dt_isundersourcecontrol_u
dbo,dt_removefromsourcecontrol
dbo,dt_setpropertybyid
dbo,dt_setpropertybyid_u
dbo,dt_validateloginparams
dbo,dt_validateloginparams_u
dbo,dt_vcsenabled
dbo,dt_verstamp006
dbo,dt_whocheckedout
dbo,dt_whocheckedout_u
dbo,PindahKolomPadaTabel
dbo,sp_alterdiagram
dbo,sp_creatediagram
dbo,sp_delete_g_arus_kas
dbo,sp_delete_g_barang_histori
dbo,sp_delete_m_customer
dbo,sp_delete_t_penjualan_detail_pegawai
dbo,sp_dropdiagram
dbo,sp_generate_inserts_edit
dbo,sp_helpdiagramdefinition
dbo,sp_helpdiagrams
dbo,sp_insert_g_arus_kas
dbo,sp_insert_g_barang_histori
dbo,sp_insert_t_penjualan_detail_pegawai
dbo,sp_renamediagram
dbo,sp_tutup_buku_delete_data
dbo,sp_tutup_buku_update_nomor
dbo,sp_tutup_buku_update_saldo_awal_kas
dbo,sp_tutup_buku_update_stok_akhir
dbo,sp_update_stok_akhir
dbo,sp_update_stok_akhir1
dbo,sp_update_t_penjualan_detail_pegawai
dbo,sp_upgraddiagrams
dbo,UpdatePenjualanPerKasir
