Schema,Table,Columns
dbo,dtproperties,7
dbo,g_app_setting,4
dbo,g_app_setting_group,3
dbo,g_app_setting_menu,4
dbo,g_app_setting_user,3
dbo,g_help,4
dbo,g_info_perusahaan,6
dbo,g_info_profile,9
dbo,g_lickey,1
dbo,g_log_login,5
dbo,g_mon_menu,4
dbo,g_mon_menu_detail,8
dbo,g_nomor,1
dbo,g_pesan_error,7
dbo,g_setting,3
dbo,g_status_jenis,3
dbo,g_survey,8
dbo,g_survey_jawaban,2
dbo,g_tutup_buku,2
dbo,g_user_group_mon_menu,2
dbo,g_user_mon_menu,2
dbo,g_versi,4
dbo,m_agama,3
dbo,m_aset,17
dbo,m_aset_kategori,4
dbo,m_bank,4
dbo,m_barang,13
dbo,m_barang_divisi,7
dbo,m_barang_divisi_diskon,8
dbo,m_barang_formula,5
dbo,m_barang_gambar,7
dbo,m_barang_promo,10
dbo,m_barang_promo_detail,10
dbo,m_barang_satuan,6
dbo,m_barang_sewa,7
dbo,m_barang_sewa_jenis,6
dbo,m_barang_stok_akhir,3
dbo,m_barang_supplier,3
dbo,m_biaya,5
dbo,m_customer,19
dbo,m_divisi,5
dbo,m_ekspedisi,12
dbo,m_hari_libur,4
dbo,m_hari_libur_agama,3
dbo,m_jabatan,5
dbo,m_jabatan_detail,3
dbo,m_jabatan_gaji,6
dbo,m_jam_kerja,32
dbo,m_jasa,8
dbo,m_jasa_detail,5
dbo,m_jasa_kategori,5
dbo,m_jenis_bahan,4
dbo,m_jenis_bayar,6
dbo,m_jenis_izin,4
dbo,m_jenis_perawatan,4
dbo,m_jenis_surat,4
dbo,m_jurnal,6
dbo,m_kas,11
dbo,m_kategori,4
dbo,m_kendaraan,7
dbo,m_kota,5
dbo,m_merk,4
dbo,m_model,4
dbo,m_negara,3
dbo,m_pegawai,23
dbo,m_pegawai_finger_print,4
dbo,m_pegawai_jenis,4
dbo,m_pegawai_komisi,5
dbo,m_pendapatan,5
dbo,m_satuan,4
dbo,m_supplier,13
dbo,m_surat,12
dbo,m_user_all_menu,15
dbo,m_user_group,3
dbo,m_user_group_menu,2
dbo,m_user_menu,2
dbo,m_userx,8
dbo,m_voucher,5
dbo,m_warna,4
dbo,mbd_stok_awal,7
dbo,sysdiagrams,5
dbo,sysreq,6
dbo,sysreqd,4
dbo,sysreql,14
dbo,sysupdate,8
dbo,sysupdatejenis,2
dbo,t_absensi,5
dbo,t_absensi_pegawai_lain,7
dbo,t_biaya_operasional,11
dbo,t_gaji,18
dbo,t_hutang_aset_cicilan,10
dbo,t_hutang_biaya_angkut_cicilan,10
dbo,t_hutang_cicilan,10
dbo,t_hutang_pegawai,10
dbo,t_hutang_pegawai_cicilan,10
dbo,t_kendaraan_jarak_tempuh,7
dbo,t_kendaraan_pengisian_bbm,7
dbo,t_kendaraan_perawatan,7
dbo,t_kendaraan_tanggung_jawab,6
dbo,t_mutasi_kas,10
dbo,t_mutasi_stok,7
dbo,t_mutasi_stok_detail,4
dbo,t_opname_proses,9
dbo,t_opname_stok,10
dbo,t_pegawai_ganti_shift,5
dbo,t_pegawai_ganti_shift_detail,3
dbo,t_pegawai_izin,10
dbo,t_pegawai_lembur,7
dbo,t_pegawai_lembur_detail,2
dbo,t_pegawai_surat_peringatan,7
dbo,t_pemakaian_barang,5
dbo,t_pemakaian_barang_detail,4
dbo,t_pembelian,18
dbo,t_pembelian_biaya_angkut,8
dbo,t_pembelian_detail,12
dbo,t_pembelian_order,21
dbo,t_pembelian_order_detail,10
dbo,t_pembelian_order_spare_part,13
dbo,t_pembelian_order_spare_part_detail,6
dbo,t_pembelian_retur,16
dbo,t_pembelian_retur_detail,9
dbo,t_penambahan_kas,6
dbo,t_pendapatan,11
dbo,t_penjualan,20
dbo,t_penjualan_detail,14
dbo,t_penjualan_detail_pegawai,2
dbo,t_penjualan_jasa,18
dbo,t_penjualan_jasa_detail,6
dbo,t_penjualan_koin,3
dbo,t_penjualan_nota_kosong,4
dbo,t_penjualan_order,21
dbo,t_penjualan_order_detail,11
dbo,t_penjualan_point,12
dbo,t_penjualan_retur,15
dbo,t_penjualan_retur_detail,10
dbo,t_penjualan_selected,3
dbo,t_penjualan_total,2
dbo,t_piutang_cicilan,12
dbo,t_piutang_jasa_cicilan,12
dbo,t_prive,6
dbo,t_sewa,13
dbo,t_surat_berharga,15
dbo,t_tagihan,6
dbo,t_tagihan_detail,5
dbo,t_transaksi_barang,9
dbo,t_transaksi_barang_detail,4
dbo,t_warning,9
dbo,tbl_log,6
dbo,tbl_log_transaksi,6
dbo,tbl_tmp_get,6
dbo,tbl_tmp_post,7
dbo,tbl_utc,1
dbo,tbl_waktu_get,1
dbo,tem_tab,1
dbo,x_penjualan,20
dbo,x_penjualan_detail,14
dbo,x_penjualan_log_warning,6
